"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"Март '07","0,5081","0,5092","0,5212","0,5069","-0,20%"
"Февр. '07","0,5091","0,5089","0,5154","0,5063","0,00%"
"Янв. '07","0,5091","0,5104","0,5192","0,5020","-0,29%"
"Дек. '06","0,5106","0,5085","0,5146","0,5038","0,35%"
"Нояб. '06","0,5088","0,5243","0,5310","0,5076","-2,94%"
"Окт. '06","0,5242","0,5333","0,5401","0,5235","-1,87%"
"Сент. '06","0,5342","0,5250","0,5375","0,5240","1,73%"
"Авг. '06","0,5251","0,5353","0,5369","0,5222","-1,92%"
"Июль '06","0,5354","0,5412","0,5502","0,5350","-1,07%"
"Июнь '06","0,5412","0,5344","0,5528","0,5296","1,22%"
"Май '06","0,5347","0,5482","0,5493","0,5255","-2,34%"
"Апр. '06","0,5475","0,5756","0,5796","0,5473","-4,83%"
"Март '06","0,5753","0,5702","0,5804","0,5673","0,89%"
"Февр. '06","0,5702","0,5621","0,5787","0,5611","1,42%"
"Янв. '06","0,5622","0,5809","0,5817","0,5574","-3,22%"
"Дек. '05","0,5809","0,5782","0,5840","0,5612","0,47%"
"Нояб. '05","0,5782","0,5649","0,5866","0,5618","2,35%"
"Окт. '05","0,5649","0,5675","0,5752","0,5583","-0,35%"
"Сент. '05","0,5669","0,5544","0,5693","0,5405","2,25%"
"Авг. '05","0,5544","0,5692","0,5714","0,5499","-2,60%"
"Июль '05","0,5692","0,5583","0,5792","0,5580","1,95%"
"Июнь '05","0,5583","0,5502","0,5595","0,5432","1,47%"
"Май '05","0,5502","0,5244","0,5524","0,5241","5,00%"
"Апр. '05","0,5240","0,5290","0,5357","0,5202","-0,96%"
"Март '05","0,5291","0,5204","0,5379","0,5172","1,71%"
"Февр. '05","0,5202","0,5310","0,5403","0,5190","-2,03%"
"Янв. '05","0,5310","0,5208","0,5398","0,5207","1,88%"
"Дек. '04","0,5212","0,5236","0,5259","0,5113","-0,40%"
"Нояб. '04","0,5233","0,5437","0,5465","0,5225","-3,81%"
"Окт. '04","0,5440","0,5518","0,5636","0,5419","-1,43%"
"Сент. '04","0,5519","0,5548","0,5647","0,5505","-0,52%"
"Авг. '04","0,5548","0,5487","0,5601","0,5409","0,98%"
"Июль '04","0,5494","0,5495","0,5529","0,5328","-0,04%"
"Июнь '04","0,5496","0,5456","0,5552","0,5407","0,70%"
"Май '04","0,5458","0,5620","0,5721","0,5441","-2,88%"
"Апр. '04","0,5620","0,5418","0,5690","0,5373","3,75%"
"Март '04","0,5417","0,5351","0,5585","0,5332","1,20%"
"Февр. '04","0,5353","0,5484","0,5514","0,5223","-2,35%"
"Янв. '04","0,5482","0,5605","0,5622","0,5382","-2,11%"
"Дек. '03","0,5600","0,5811","0,5826","0,5572","-3,53%"
"Нояб. '03","0,5805","0,5897","0,6036","0,5798","-1,59%"
"Окт. '03","0,5899","0,6017","0,6049","0,5851","-1,98%"
"Сент. '03","0,6018","0,6333","0,6406","0,5964","-5,06%"
"Авг. '03","0,6339","0,6208","0,6402","0,6176","2,06%"
"Июль '03","0,6211","0,6038","0,6337","0,5970","2,80%"
"Июнь '03","0,6042","0,6150","0,6159","0,5914","-1,13%"
"Май '03","0,6111","0,6252","0,6288","0,6042","-2,32%"
"Апр. '03","0,6256","0,6318","0,6468","0,6234","-0,95%"
"Март '03","0,6316","0,6357","0,6437","0,6187","-0,61%"
"Февр. '03","0,6355","0,6066","0,6369","0,6046","4,71%"
"Янв. '03","0,6069","0,6206","0,6288","0,6034","-2,14%"
"Дек. '02","0,6202","0,6423","0,6472","0,6197","-3,43%"
"Нояб. '02","0,6422","0,6389","0,6488","0,6260","0,49%"
"Окт. '02","0,6391","0,6377","0,6490","0,6342","0,25%"
"Сент. '02","0,6375","0,6452","0,6544","0,6350","-1,19%"
"Авг. '02","0,6452","0,6395","0,6597","0,6357","0,89%"
"Июль '02","0,6395","0,6525","0,6601","0,6302","-1,93%"
"Июнь '02","0,6521","0,6861","0,6882","0,6498","-5,18%"
"Май '02","0,6877","0,6857","0,6914","0,6798","0,23%"
"Апр. '02","0,6861","0,7012","0,7018","0,6828","-2,18%"
"Март '02","0,7014","0,7058","0,7099","0,6978","-0,69%"
"Февр. '02","0,7063","0,7084","0,7113","0,6960","-0,37%"
"Янв. '02","0,7089","0,6878","0,7121","0,6866","3,11%"
"Дек. '01","0,6875","0,7021","0,7073","0,6843","-2,09%"
"Нояб. '01","0,7022","0,6874","0,7123","0,6806","2,14%"
"Окт. '01","0,6875","0,6791","0,7045","0,6734","1,37%"
"Сент. '01","0,6782","0,6880","0,6943","0,6752","-1,40%"
"Авг. '01","0,6878","0,7015","0,7082","0,6836","-1,99%"
"Июль '01","0,7018","0,7062","0,7179","0,6964","-0,64%"
"Июнь '01","0,7063","0,7048","0,7309","0,7027","0,18%"
"Май '01","0,7050","0,6975","0,7105","0,6918","0,97%"
"Апр. '01","0,6982","0,7067","0,7073","0,6893","-1,15%"
"Март '01","0,7063","0,6920","0,7066","0,6770","2,05%"
"Февр. '01","0,6921","0,6831","0,6987","0,6738","1,30%"
"Янв. '01","0,6832","0,6682","0,6915","0,6619","2,20%"
"Дек. '00","0,6685","0,7007","0,7026","0,6671","-4,64%"
"Нояб. '00","0,7010","0,6905","0,7166","0,6860","1,52%"
"Окт. '00","0,6905","0,6771","0,7048","0,6750","1,93%"
"Сент. '00","0,6774","0,6907","0,7169","0,6754","-1,93%"
"Авг. '00","0,6907","0,6663","0,6935","0,6603","3,48%"
"Июль '00","0,6675","0,6678","0,6675","0,6678","1,15%"
"Июнь '00","0,6599","0,6605","0,6599","0,6605","-1,15%"
"Май '00","0,6676","0,6689","0,6676","0,6689","3,99%"
"Апр. '00","0,6420","0,6395","0,6420","0,6395","2,29%"
"Март '00","0,6276","0,6269","0,6276","0,6269","-0,92%"
"Февр. '00","0,6334","0,6333","0,6334","0,6333","2,49%"
"Янв. '00","0,6180","0,6169","0,6180","0,6169","-0,19%"
"Дек. '99","0,6192","0,6203","0,6192","0,6203","-1,21%"
"Нояб. '99","0,6268","0,6279","0,6268","0,6279","2,91%"
"Окт. '99","0,6091","0,6095","0,6091","0,6095","0,31%"
"Сент. '99","0,6072","0,6073","0,6072","0,6073","-2,50%"
"Авг. '99","0,6228","0,6218","0,6228","0,6218","0,92%"
"Июль '99","0,6171","0,6172","0,6171","0,6172","-2,70%"
"Июнь '99","0,6342","0,6342","0,6342","0,6342","1,59%"
"Май '99","0,6243","0,6245","0,6243","0,6245","0,48%"
"Апр. '99","0,6213","0,6210","0,6213","0,6210","0,16%"
"Март '99","0,6203","0,6197","0,6203","0,6197","-0,64%"
"Февр. '99","0,6243","0,6245","0,6243","0,6245","2,66%"
"Янв. '99","0,6081","0,6085","0,6081","0,6085","0,88%"
"Дек. '98","0,6028","0,6010","0,6028","0,6010","-0,56%"
"Нояб. '98","0,6062","0,6056","0,6062","0,6056","1,54%"
