,anonymousId,utm_source,utm_medium,utm_campaign,session_start_time,"duration, m"
75,17c82e20-0c1d-11e8-b1a2-03eca9f1f9aa,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 15:38:17.038000+00:00,0.3
76,17c82e20-0c1d-11e8-b1a2-03eca9f1f9aa,No data,No data,No data,2018-02-07 15:38:37.239000+00:00,49.61666666666667
77,17feb4d0-0bd8-11e8-a80e-2b23479db2f7,No data,No data,No data,2018-02-07 07:25:41.071000+00:00,0.0
78,181dbd10-0bad-11e8-997b-c740beae9411,No data,No data,No data,2018-02-07 02:17:50.345999+00:00,0.0
79,183d8a60-0c0b-11e8-95d6-837beed40241,No data,No data,No data,2018-02-07 13:30:42.950999+00:00,0.0
80,18b20f30-0bec-11e8-99e5-099db27bbe25,yCLBtjhT7Sc7iWh6xQX5+g==,cpc,No data,2018-02-07 09:48:48.622999+00:00,1.1333333333333333
81,18c3f7e0-0b9c-11e8-bf3c-73f14c16be5e,No data,No data,No data,2018-02-07 00:16:11.341000+00:00,0.4166666666666667
82,18e7cd60-0bb9-11e8-b579-9523a3d78876,No data,No data,No data,2018-02-07 03:43:46.180000+00:00,0.0
83,190c9230-002e-11e8-84a6-7123afb10d4c,No data,No data,No data,2018-02-07 05:43:35.575000+00:00,2.2666666666666666
84,190c9230-002e-11e8-84a6-7123afb10d4c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 06:28:22.372999+00:00,0.0
85,1941b490-0bb6-11e8-b026-bfe7c75ff776,No data,No data,No data,2018-02-07 03:22:20.464999+00:00,3.783333333333333
86,1967b5e0-0c34-11e8-8cbf-edb03f9eb1c2,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,WHSyEneJw2EdnwqFYeOnaQ==,2018-02-07 18:24:16.216000+00:00,3.55
87,19f5d070-0c05-11e8-befa-35fd253d1249,No data,No data,No data,2018-02-07 12:47:49.684999+00:00,0.0
88,1a079bd0-0be6-11e8-8068-e3615ad270f5,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,0k6YtpoSj+mIDaKWJa+Pxg==,2018-02-07 09:05:51.956000+00:00,0.0
89,1a079bd0-0be6-11e8-8068-e3615ad270f5,No data,No data,No data,2018-02-07 09:05:57.098000+00:00,0.0
90,1aa3c780-0bb4-11e8-bc4c-f78a7dc11a2f,No data,No data,No data,2018-02-07 03:08:01.017999+00:00,0.0
91,1b626db0-0be2-11e8-bb87-155735f8365c,No data,No data,No data,2018-02-07 08:37:16.595999+00:00,3.566666666666667
92,1c848010-001c-11e8-950e-e31d617a1c2f,No data,No data,No data,2018-02-07 12:42:41.713999+00:00,0.0
93,1cadd900-0c5c-11e8-b66a-872da6971fcc,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,CJNiaxAkackGcR6j3+AO6w==,2018-02-07 23:10:39.813999+00:00,0.0
94,1cadd900-0c5c-11e8-b66a-872da6971fcc,No data,No data,No data,2018-02-07 23:13:43.174999+00:00,0.0
95,1ccc3ba0-0c4a-11e8-b3c7-091b7ab40371,No data,No data,No data,2018-02-07 21:03:10.387000+00:00,5.266666666666667
96,1d05b340-0c2b-11e8-9e11-33b71efb3015,No data,No data,No data,2018-02-07 17:19:54.585999+00:00,1.4666666666666666
97,1d398000-0bd4-11e8-8c77-ad41a47e75de,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 06:57:09.059000+00:00,0.0
98,1d398000-0bd4-11e8-8c77-ad41a47e75de,No data,No data,No data,2018-02-07 06:57:29.091000+00:00,0.0
99,1d398000-0bd4-11e8-8c77-ad41a47e75de,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 06:57:43.720000+00:00,0.5166666666666667
100,1d398000-0bd4-11e8-8c77-ad41a47e75de,No data,No data,No data,2018-02-07 06:58:31.641000+00:00,0.4166666666666667
101,1d398000-0bd4-11e8-8c77-ad41a47e75de,eUdUPXMqN2CImzRw+SVnXA==,email,Uiwkan+XEQuhr4f4nqG7yg==,2018-02-07 06:59:41.525000+00:00,0.1
102,1d398000-0bd4-11e8-8c77-ad41a47e75de,No data,No data,No data,2018-02-07 07:00:05.467999+00:00,0.45
103,1dcd8630-0c22-11e8-9e9f-9b61239e331a,No data,No data,No data,2018-02-07 16:15:31.526000+00:00,0.0
104,1e399d30-0c1c-11e8-a0f3-2bebaa394acd,No data,No data,No data,2018-02-07 15:32:34.901000+00:00,0.43333333333333335
105,1e39da60-0c13-11e8-83ac-8fe8d00fa21a,No data,No data,No data,2018-02-07 14:28:09.512000+00:00,3.5833333333333335
106,1e4bc8e0-0b5c-11e8-9256-799453a73d15,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,UcdTsZ8aVobmMwpTt/ICxQ==,2018-02-07 19:42:57.762000+00:00,0.0
107,1e5fe550-0bd9-11e8-9b42-613788674dc0,No data,No data,No data,2018-02-07 07:32:58.206000+00:00,0.0
108,1ed74cc0-0b6c-11e8-8ee2-e7b90805b31d,No data,No data,No data,2018-02-07 00:37:30.335000+00:00,21.466666666666665
109,1f63c0d0-0b15-11e8-b649-4765994aeb2f,No data,No data,No data,2018-02-07 08:55:49.888999+00:00,0.0
110,1f7e2ff0-0bc0-11e8-bfe6-1f1ce25d5372,No data,No data,No data,2018-02-07 04:34:03.585000+00:00,0.0
111,1f8142f0-0c1d-11e8-bad9-a760e8a3e748,No data,No data,No data,2018-02-07 15:39:46.747999+00:00,25.8
112,1fd3d880-0c59-11e8-99f8-778c683b05b4,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,AtVvhAzO2HkP2JGa9wkKvg==,2018-02-07 22:49:19.635999+00:00,0.0
113,1ff7dce0-0bf9-11e8-b5da-bf6b0b05d8c3,No data,No data,No data,2018-02-07 11:22:06.049999+00:00,0.2833333333333333
114,2024c700-0bfe-11e8-8d05-3b65195c1e5c,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 11:57:52.798000+00:00,0.06666666666666667
115,2024c700-0bfe-11e8-8d05-3b65195c1e5c,No data,No data,No data,2018-02-07 11:57:58.592000+00:00,11.75
116,219cf3d0-0c19-11e8-8b54-5f25fc0ab2ef,No data,No data,No data,2018-02-07 15:02:46.842000+00:00,2.566666666666667
117,225c38b0-0bb7-11e8-bfb1-f11dfb62b18d,No data,No data,No data,2018-02-07 03:29:42.592999+00:00,0.0
118,22a1f940-0b80-11e8-a865-91346bc9ed94,7Iv1Fvr6UZJ+cSM+GOglAw==,cpc,a9Yj/+1ZvP9IJ1OM0mHmfg==,2018-02-07 12:54:20.638999+00:00,0.0
119,22a1f940-0b80-11e8-a865-91346bc9ed94,No data,No data,No data,2018-02-07 12:54:30.220000+00:00,36.0
